Nom de la Recette,Ingredients,Puree Preparation,Duree Cuisson,Duree Repos,Etapes de Preparation,URL Recette,URL_Image,Ingredient_lem_token,Ingredient_stem_token
"Joulutorttu, étoiles de Noël finlandaises",200 g de farine semi-complète//1 c. café de bicarbonate ou de levure chimique//20 cl de crème épaisseou fromage blanc//70 g de beurre froid//120 g de pruneaux dénoyautés//2 c. soupe de sucre//1 c. soupe de jus de citron//1 jaune d’œuf//un peu de lait//sucre glace,30 min,15 min,,"La veille, préparer la pâte feuilletée : mélanger farine et bicarbonate ; ajouter la crème épaisse et couper le beurre bien froid au couteau dans cette pâte. Malaxer jusqu’à former une boule. Étaler ensuite la pâte en rectangle. Replier en portefeuille, tourner d’un quart et recommencer 3 fois. Envelopper la pâte et réfrigérer pour la nuit.//Préparer la pâte de pruneaux en les mettant dans une casserole, couverts d’eau à peine. Cuire jusqu’à ce qu’ils soient bien tendres. Égoutter en conservant une partie du jus. Mixer les pruneaux avec le sucre et le jus de citron, pour obtenir une pâte assez épaisse (ajouter du jus de cuisson si la pâte est trop sèche).//Le lendemain, préchauffer le four à 200°C.//Enfourner 10 à 20 minutes. Les étoiles vont gonfler et dorer jusqu’à devenir dorées et joliment appétissantes.//Elles s’apprécient tièdes ou froides. Ne vous ruez pas dessus au sortir du four, au risque de vous brûler la langue ! Laisser refroidir avant de saupoudrer de sucre glace.",https://www.cuisine-libre.org/joulutorttu-etoiles-de-noel-finlandaises,https://www.cuisine-libre.org/local/cache-gd2/67/cb88546caf2776b94be5623e7c0c83.jpg?1644795337,crème épaisseou œuf glace beurre café semi sucre lait fromage jaune citron dénoyauté bicarbonate farine levure chimique blanc ju pruneaux complète,ju chimiqu jaun complet creme levur glace oeuf fromag bicarbon denoyaut epais semi farin cafe lait citron blanc beurr pruneaux sucr
Gâteau de l’amitié Herman,1 part de levain Herman [*]//2 tasses (300 g) de farine//2 tasses (450 g) de sucre//2 tasses (210 ml) de lait//1 tasse (225 g) de sucre//2 tasses de farine ordinaire//½ c. à café de sel//½ c. à café de bicarbonate de soude//⅔ tasse (160 ml) d’huile neutre (ou de beurre fondu)//2 œufs//1 tasse (200 g) de raisins secs//1 tasse de pommes à cuire coupées en morceaux//1 c. à café de cannelle,20 min,40 min,10 j,"Herman est vivant. Vous devez le garder en vie et le nourrir jusqu’à ce qu’il soit prêt à partager, pour faire de délicieux gâteaux avec lui.//Installez Herman sur votre plan de travail, à température ambiante (entre 22 et 25°C), dans un coin sec et calme. Herman est très frileux : ne le mettez jamais au réfrigérateur, sinon il meurt ! Il n’aime pas non plus les courants d’air. Ni les ustensiles métalliques.",https://www.cuisine-libre.org/gateau-amitie-herman,https://www.cuisine-libre.org/local/cache-gd2/ed/6dde8989d04665b4a6dcf923c8a0a7.jpg?1645357616,neutre sec huile raisin levain ordinaire œuf cuire herman café beurre coupée pomme sucre cannelle morceau lait ⅔ sel ½ bicarbonate farine tasse part,sec part raisin levain oeuf bicarbon herman cannel tas farin cafe pomm coupe neutr ordinair lait sel cuir morceaux huil beurr sucr
Cookies au chocolat et à la farine de châtaigne,120 g de sucre//50 g de beurre mou//1 œuf//80 g de farine de châtaigne Ardéch’Oise//1 sachet de levure//170 g de chocolat coupés en gros morceaux//160 g de flocons d’avoine,15 min,20 min,1 h,"Dans un saladier, mélanger le beurre mou et le sucre afin d’obtenir un mélange homogène. Ajouter l’œuf préalablement battu en omelette et mélanger. Ajouter la farine et la levure tamisée puis mélanger. Ajouter le sel et les flocons d’avoine, mélanger et ajouter le chocolat coupés en gros morceaux.//Sur une plaque anti-adhésive, former des petits tas suffisamment espacés, les aplatir et enfourner 20 minutes.//Laisser refroidir sur une grille à la sortie du four",https://www.cuisine-libre.org/cookies-au-chocolat-et-a-la-farine-de,https://www.cuisine-libre.org/local/cache-gd2/95/f2f733cfd8fc1cf1fd647609e74fa2.jpg?1644795423,chocolat œuf farine levure châtaigne sachet sucre ardéch avoine morceau flocon coupé beurre,chocolat ardech levur morceaux sachet oeuf flocon coup beurr oi avoin chataign farin sucr
Sablés à la cannelle,220 g de Farine//70 g de poudre d’amandes//100 g de Beurre//120 g de sucre//1 c. à café bombée de cannelle//1 sachet de levure//1 pincée de sel,20 min,10 min,30 min,"Sortir le beurre du réfrigérateur.//Préchauffer le four à 180°C.//Placer la farine, la poudre d’amandes, le sucre, la cannelle, la levure et le sel dans un saladier et les mélanger.//Couper le beurre en petits morceaux et à l’aide de 2 petits couteaux l’amalgamer à la première préparation afin de former une pâte sablée homogène.//Laisser reposer la pâte 30 minutes au réfrigérateur.////Déposer à l’aide d’une petite cuillère des petit tas de pâte sur une plaque de cuisson allant au four.//Enfourner environ 10 minutes par plaque.//Attention les sablés sont fragiles à la sortie du four : laissez refroidir à plat.",https://www.cuisine-libre.org/sables-a-la-cannelle,https://www.cuisine-libre.org/local/cache-gd2/f0/2a562363cbe13b8ab3f472f398bbe6.jpg?1676629566,café farine levure sachet sucre cannelle bombée amande poudre beurre sel,poudr levur sachet cafe beurr farin bombe sel cannel amand sucr
Gâteau irlandais de la Toussaint,220 g de farine//15 g de levure de boulanger//5 cl de lait tiède//50 g de beurre//40 g de sucre brun//1 œuf//150 g de raisins secs de Corinthe et de Smyrne//25 g d’écorces d’oranges confites//1 pincée de cannelle//1 pincée de muscade//2 pincées de sel//un peu de beurre fondu,20 min,50 min,,"Préchauffez le four à 180°C.//Émiettez la levure dans le lait tiède, laissez dissoudre et reposer.//Mettez dans une jatte chaude la farine, le sel, la cannelle, la muscade, le beurre en petits morceaux et le sucre brun, mélangez du bout des doigts jusqu’à obtention d’un mélange sableux.//Ajoutez à la levure l’œuf battu, puis versez dans la jatte, battez jusqu’à obtention d’une pâte homogène.//Incorporez à cette pâte les raisins et les écorces confites, remuez, couvrez et laissez reposer dans un endroit chaud jusqu’à ce que la pâte ait doublé de volume.//Pétrissez la pâte, et disposez-la dans un moule rond de 18 cm de diamètre.Faites cuire le gâteau 50 à 60 minutes, badigeonnez-le de beurre amolli à la sortie du four.",https://www.cuisine-libre.org/gateau-irlandais-de-la-toussaint,https://www.cuisine-libre.org/local/cache-gd2/92/1bc02dabb7f2ffce20f3a14f1eff6c.jpg?1644794726,sec raisin corinthe œuf confite orange écorce beurre boulanger sucre cannelle lait muscade sel farine levure tiède brun smyrne pincée,sec raisin muscad boulang corinth levur ecorc oeuf cannel pince farin tied lait sel smyrn beurr brun orang confit sucr
Bouquettes liégeoises,1 à 2 œufs//3 c. à soupe de farine de sarrasin//9 c. à soupe de farine blanche//1 c. de sucre fin//1 c. d’huile//1 pincée de sel//½ bloc de levure de boulanger//1 bouteille de bière blonde//raisins secs de Corinthe,10 min,20 min,15 min,"Casser les œufs, verser la farine, l’huile le sel et le sucre dans un plat. Émietter la levure et battre l’ensemble au fouet en ajoutant la bière jusqu’à obtenir une pâte assez liquide et filante sur le fouet.//Couvrir et placer près d’une source chaude (un radiateur par exemple) pendant une quinzaine de minutes, jusqu’à ce que des bulles se forment à la surface.//Utiliser une poêle à fond mince que l’on graissera au pinceau entre chaque boûkete. La poêle doit être toujours très chaude. Verser la pâte avec une petite louche et parsemer de raisins secs. Faire sauter les boûketes pour les dorer de chaque côté. Éviter de faire sauter les boûketes trop haut : ça colle au plafond…",https://www.cuisine-libre.org/bouquettes-liegeoises,https://www.cuisine-libre.org/local/cache-gd2/c0/019556ef39ebf1b1920a804acfe28c.jpg?1644794260,½ corinthe bouteille boulanger blanche bloc farine œuf sarrasin levure bière sucre sec huile raisin blonde sel,bloc corinth levur sarrasin boulang oeuf sec blanch huil blond bier sel bouteil raisin farin sucr
Gâteau à la pâte d’azuki,3 œufs//80 g de sucre roux en poudre//200 g de tsubuan (pâte de haricots rouges sucrée)//80 g de beurre doux (ou margarine végétale)//100 g de farine//1/2 sachet de levure chimique//1 goutte d’extrait de vanille//1 pincée de sel,20 min,35 min,,"Dans une casserole, faites chauffer doucement la pâte de haricots rouges et le beurre jusqu’à ce que ce dernier soit fondu et que la préparation devienne lisse. Laissez tiédir.//Cassez les œufs en séparant les blancs des jaunes. Mettez les jaunes dans un saladier et fouettez-les avec le sucre. Incorporez la pâte de haricots dans le saladier, avec l’extrait de vanille. Ajoutez la farine mélangée à la levure. Mélangez bien.//Préchauffez le four à 180°C.//Battez les blancs en neige ferme avec 1 pincée de sel. Incorporez-les délicatement à la pâte à l’aide d’une spatule souple.//Versez la pâte dans un moule à manqué ou à cake et enfournez pour 30 à 40 minutes de cuisson.",https://www.cuisine-libre.org/gateau-a-la-pate-d-azuki,https://www.cuisine-libre.org/local/cache-gd2/7b/3d5b1a44449a1e692fd6c677d6e5b0.jpg?1644795277,margarine sachet végétale doux sucrée tsubuan œuf roux haricot pâte beurre vanille sucre goutte rouge sel farine levure chimique poudre,sachet chimiqu doux vegetal pate tsubuan levur oeuf roux haricot vanil farin roug sucre sel poudr goutt beurr margarin sucr
Pain perdu,tranches de pain rassis//2 œufs//6 c. à soupe de lait//1 sachet de sucre vanillé (facultatif)//beurre frais (pour la poêle),15 min,10 min,,"Faire fondre le sucre vanillé dans le lait tiédi. Battre avec les œufs. Tremper les tranches de pain dans ce mélange, attendre quelques secondes pour qu’elles s’imbibent.//Faire fondre une noix de beurre frais dans une poêle. Y faire dorer les tranches de pain, très chaud, 2 min de chaque côté.//Servir chaud, saupoudré de sucre semoule ou de vergeoise, tartiné de confiture ou même avec une boule de glace à la vanille.",https://www.cuisine-libre.org/pain-perdu,https://www.cuisine-libre.org/local/cache-gd2/76/d18f5131839e4a36200aae29bc8ae6.jpg?1644794313,poêle pain frai facultatif œuf sachet sucre rassi tranche lait vanillé beurre,poel pain facultatif sachet oeuf tranch beurr lait vanil rassi frai sucr
Gateau de carotte (Carrot Cake),275 g de carottes//275 g de cassonade//4 œufs//210 g huile de colza//275 g de farine//1 sachet de levure//1 sachet de sucre vanillé//2 cuillères à café de cannelle moulue//2 cuillères à café de gingembre moulu//1 cuillère à café de mélange pour pain d’épice//50 g de cerneaux de noix concassés//35 g de raisin secs//25 g de noisettes concassées (ou poudre de noisettes)//300 g de fromage Philadelphia (ou St Moret à défaut)//150 g de sucre glace//50 g de beurre tendre à température ambiante//1 citron vert,15 min,45 min,,"Dans le robot, mettre les œufs et le sucre. Battre au fouet jusqu’à ce que le mélange blanchisse et double de volume.//Ajouter l’huile et mélanger.//Dans un saladier, mélanger farine, levure, sucre vanillé, cannelle, gingembre, épices. Ajouter progressivement le mélange précédent.//Préchauffer le four à 180°C.//Éplucher les carottes et les rapper finement au robot.//Ajouter dans le saladier les carottes rappées, puis le mélange noix, noisettes et raisins secs préalablement concassé au robot, en mélangeant bien à chaque fois.//Verser dans un moule à manqué. Cuire 45 min au four. Sortir et démouler aussitôt, laisser refroidir.//Pendant ce temps préparer le glaçage : dans un saladier battre ensemble fromage, sucre glace, beurre ramolli en morceaux et jus des citrons jusqu’à obtenir un mélange onctueux. Si nécessaire utiliser un mixer à soupe pour bien réduire les morceaux de beurre.//Lorsque le gâteau est refroidi, le napper de la préparation de façon homogène, puis réserver au frigo 12h avant de déguster, pour que le glaçage durcisse.",https://www.cuisine-libre.org/gateau-de-carotte-carrot-cake,https://www.cuisine-libre.org/local/cache-gd2/8a/8f68d104e1ca00b1790537ddf00780.jpg?1644794498,philadelphia sec moulue sachet noix moret huile épice température raisin cassonade œuf glace concassé café beurre noisette carotte sucre cannelle cuillère gingembre concassée st moulu défaut vanillé ambiante vert fromage pain citron farine levure tendre cerneaux poudre colza cuillère mélange,philadelphia sec noix sachet melang moret temperatur concas raisin epic levur glace oeuf fromag noisett vanil cannel farin cafe cuiller st moulu vert pain poudr citron gingembr cassonad tendr defaut ambiant huil concasse beurr carott cerneaux colza sucr
Pacanes pralinées à l’érable,Pacanes (en moitié)//Sirop d’érable (50 ml pour chaque 100 g de pacanes)//Sel,,,,"Mettre les pacanes dans un chaudron, et les chauffer quelques minutes à basse température (équivalent à 2-3 sur la plupart des cuisinières). Ajouter le sirop d’érable, et remuer constamment jusqu’à évaporation du liquide. Lorsqu’elles seront prêtes, les pacanes prendront une apparence sablonneuse.//Il est important de ne pas chauffer les pacanes à feu trop élevé, et de les retirer du feu dès qu’elles sont prêtes pour éviter la caramélisation du sucre d’érable qui deviendrait alors très dur.",https://www.cuisine-libre.org/pacanes-pralinees-a-l-erable,https://www.cuisine-libre.org/local/cache-gd2/bb/3a13da751f678f750745e537f61bd1.jpg?1644794450,sirop moitié érable pacane sel chaque,moiti chaqu sirop pacan erabl sel
